APN,Parcel,House,Address,SqFtDelta,Bed/Bath,Type,Value,ParcelSqFt,Chosen,Ratios,Floors
4245522604,"POLYGON ((6258713.995235997 1867605.137479923, 6258683.827731376 1867710.279192143, 6258731.595177877 1867722.791019784, 6258753.628316305 1867629.212927997, 6258743.763426814 1867614.701745078, 6258713.995235997 1867605.137479923))",[<shapely.geometry.polygon.Polygon object at 0x10b349e10>],1662 MOORLAND DR,"[2914.704198812554, 1479]","(2, 2.5)","('Condominium', 10)","(538740.5, 353827.0)",5517.7917805,False,"(0.507427134665172, 125.02603110209601, 4.5)",1
4245522700,"POLYGON ((6258804.886337957 1867627.251562461, 6258772.201392513 1867640.523991013, 6258751.440564185 1867729.167180794, 6258799.180039914 1867738.725669281, 6258824.611877547 1867638.387668833, 6258804.886337957 1867627.251562461))",[<shapely.geometry.polygon.Polygon object at 0x10b349080>],1672 MOORLAND DR,"[2248.3910607346897, 3750]","(9, 7.5)","('MultiFamily2To4', 30)","(825987.0, 428006.0)",5710.5254955,False,"(1.66785932638188, 106.12826666666666, 16.5)",2
4245522500,"POLYGON ((6258692.501147204 1867598.776904718, 6258663.128968681 1867613.65908285, 6258644.001519723 1867700.646031558, 6258683.48249443 1867708.641512621, 6258710.578126265 1867609.928539152, 6258692.501147204 1867598.776904718))",[<shapely.geometry.polygon.Polygon object at 0x10b349d30>],3701 YOSEMITE ST,"[2267.8726233511466, 1968]","(4, 2.5)","('SingleFamily', 30)","(101646.5, 51693.0)",4864.3467135,False,"(0.8677736040977307, 25.382876016260163, 6.5)",1
4234820100,"POLYGON ((6258956.016568171 1867568.390267295, 6258949.837510963 1867612.426091481, 6259020.88303776 1867628.164477396, 6259045.24752978 1867606.766135173, 6259046.79912971 1867579.019436244, 6258956.016568171 1867568.390267295))",[<shapely.geometry.polygon.Polygon object at 0x10b349ba8>],3682 CROWN POINT DR,"[3044.4359396621044, 3100]","(2, 2.5)","('SingleFamily', 10)","(376137.0, 74535.0)",4840.7173785,False,"(1.01825101970911, 97.290967741935489, 4.5)",2
4234822700,"POLYGON ((6258874.877591863 1867531.414990288, 6258865.536801714 1867572.362953628, 6258873.934946747 1867588.693096993, 6258944.876157281 1867610.832013649, 6258955.571146962 1867538.693252619, 6258874.877591863 1867531.414990288))",[<shapely.geometry.polygon.Polygon object at 0x10b3499e8>],3681 JEWELL ST,"[2907.5529861076543, 3366]","(4, 2.5)","('SingleFamily', 10)","(640204.0, 294694.0)",5839.8410455,False,"(1.1576745173975556, 102.64705882352941, 6.5)",2
4234820200,"POLYGON ((6258973.577901619 1867507.509137134, 6258960.598731177 1867512.390510974, 6258956.013468071 1867568.062106415, 6259048.250345928 1867575.559735437, 6259052.820272418 1867518.247360751, 6258973.577901619 1867507.509137134))",[<shapely.geometry.polygon.Polygon object at 0x10b3499b0>],3676 CROWN POINT DR,"[3141.4317702910203, 1564]","(2, 2.0)","('SingleFamily', 10)","(294958.5, 162998.0)",5979.3435755,False,"(0.4978621578832228, 84.373721227621488, 4.0)",1
4234830100,"POLYGON ((6258737.778294479 1867504.814581536, 6258729.714002283 1867506.367678537, 6258725.051577399 1867553.835296807, 6258784.557010714 1867569.682295079, 6258815.593413267 1867556.425432292, 6258818.638363922 1867512.255028147, 6258737.778294479 1867504.814581536))",[<shapely.geometry.polygon.Polygon object at 0x10b349198>],3684 JEWELL ST,"[2373.287468686867, 2258]","(4, 3.0)","('SingleFamily', 10)","(405068.5, 203561.0)",5398.3984595,False,"(0.9514228806210925, 89.241585473870686, 7.0)",2
4234832500,"POLYGON ((6258648.442324725 1867472.840158195, 6258645.835943392 1867528.493162976, 6258720.090203163 1867552.241250695, 6258730.831244431 1867485.024705508, 6258648.442324725 1867472.840158195))",[<shapely.geometry.polygon.Polygon object at 0x10b349f98>],3671 YOSEMITE ST,"[2941.5157005862247, 2608]","(4, 3.0)","('SingleFamily', 10)","(1224873.5, 964487.0)",5720.868629,False,"(0.8866177391064894, 99.841449386503072, 7.0)",2
4234822600,"POLYGON ((6258884.16465998 1867467.330015126, 6258871.546237847 1867527.83637359, 6258957.188767429 1867535.396066466, 6258965.071286527 1867479.693267153, 6258884.16465998 1867467.330015126))",[<shapely.geometry.polygon.Polygon object at 0x10b349278>],3669 JEWELL ST,"[2547.4606830570806, 1403]","(3, 2.0)",10,"(97140.0, 51693.0)",5394.9932275,False,"(0.5507445156391303, 32.392729864575912, 5.0)",1
4234820300,"POLYGON ((6258986.069432984 1867433.548133855, 6258962.169852987 1867504.170900002, 6259054.45030026 1867516.262823127, 6259066.933649409 1867458.875614103, 6258986.069432984 1867433.548133855))",[<shapely.geometry.polygon.Polygon object at 0x10b349320>],3670 CROWN POINT DR,"[1856.2813959921396, 2377]","(4, 3.5)","('SingleFamily', 10)","(1061432.0, 330219.0)",6394.1998845,True,"(1.2805170623010786, 307.6201093815734, 7.5)",2
4234830200,"POLYGON ((6258747.080608215 1867442.370322224, 6258739.06283466 1867448.845851302, 6258732.798299021 1867501.251561757, 6258821.753688939 1867510.420535697, 6258828.002860892 1867456.374048849, 6258747.080608215 1867442.370322224))",[<shapely.geometry.polygon.Polygon object at 0x10b349fd0>],3680 JEWELL ST,"[1475.3723953043311, 1099]","(2, 2.0)","('SingleFamily', 10)","(466538.0, 410056.0)",5488.411062,False,"(0.7448966806602781, 51.393994540491356, 4.0)",1
4234822500,"POLYGON ((6258898.382147904 1867401.557371034, 6258882.648338547 1867463.898335326, 6258966.701310969 1867477.708722657, 6258980.91064251 1867428.509894835, 6258898.382147904 1867401.557371034))",[<shapely.geometry.polygon.Polygon object at 0x10b349f60>],3663 JEWELL ST,"[2699.2386220944786, 1464]","(3, 1.5)","('SingleFamily', 10)","(801412.0, 654546.0)",5403.311438,False,"(0.542375167581148, 100.31830601092896, 4.5)",1
4234832400,"POLYGON ((6258659.377586757 1867408.73940766, 6258651.375338332 1867416.855777548, 6258645.292869706 1867471.06488948, 6258730.963531601 1867481.577448751, 6258741.844223918 1867429.12806676, 6258659.377586757 1867408.73940766))",[<shapely.geometry.polygon.Polygon object at 0x10b349358>],3663 YOSEMITE ST,"[1890.887471686736, 1530]","(3, 2.0)","('SingleFamily', 10)","(131158.0, 66530.0)",5553.965291,False,"(0.8091438665227327, 42.240522875816993, 5.0)",1
4234820400,"POLYGON ((6259003.661895825 1867375.948395996, 6258982.904494025 1867430.132018634, 6259067.081467662 1867457.06916631, 6259086.174871232 1867401.260399283, 6259003.661895825 1867375.948395996))",[<shapely.geometry.polygon.Polygon object at 0x10b349e80>],3664 CROWN POINT DR,"[2036.8688785134186, 1334]","(3, 2.0)","('SingleFamily', 10)","(1360293.5, 1319825.0)",5506.08952,False,"(0.654926791838266, 30.336206896551722, 5.0)",1
4234830300,"POLYGON ((6258759.61817615 1867373.331520137, 6258742.267017954 1867438.969816591, 6258827.968745383 1867452.764266599, 6258842.162369627 1867401.924524711, 6258759.61817615 1867373.331520137))",[<shapely.geometry.polygon.Polygon object at 0x10b349ef0>],3666 JEWELL ST,"[2329.721662265694, 2188]","(4, 3.0)","('SingleFamily', 10)","(150728.5, 47602.0)",5808.084892,False,"(0.9391679853601622, 47.132769652650822, 7.0)",1
4234832300,"POLYGON ((6258675.28981742 1867347.873398764, 6258667.225488537 1867349.426518685, 6258652.915353854 1867405.354501413, 6258741.961001099 1867424.039992499, 6258756.170013142 1867374.8409804, 6258675.28981742 1867347.873398764))",[<shapely.geometry.polygon.Polygon object at 0x10b3490f0>],3657 YOSEMITE ST,"[3045.9645537694796, 3193]","(3, 2.5)","('SingleFamily', 10)","(220400.5, 45447.0)",5538.369473,False,"(1.048272211851106, 54.792828061384277, 5.5)",1
4234822400,"POLYGON ((6258915.974471701 1867343.957526753, 6258898.514453529 1867398.110106238, 6258981.058456075 1867426.703444913, 6259001.800358891 1867370.879000998, 6258915.974471701 1867343.957526753))",[<shapely.geometry.polygon.Polygon object at 0x10b349470>],3655 JEWELL ST,"[2084.487705697389, 1012]","(2, 1.0)","('SingleFamily', 10)","(197214.0, 131298.0)",5575.318888,False,"(0.4854909900566786, 65.134387351778656, 3.0)",1
4234820500,"POLYGON ((6259022.872061326 1867315.051360678, 6259002.161081142 1867374.157515151, 6259086.307197045 1867397.813135426, 6259105.416163128 1867343.645094043, 6259022.872061326 1867315.051360678))",[<shapely.geometry.polygon.Polygon object at 0x10b349eb8>],3658 CROWN POINT DR,"[1649.6074381371857, 1740]","(4, 2.0)","('SingleFamily', 10)","(870221.5, 1050000.0)",5588.2922995,False,"(1.0547964077834724, -103.32097701149425, 6.0)",2
4234830400,"POLYGON ((6258777.225776874 1867317.372364343, 6258759.765977534 1867371.525065996, 6258842.294669197 1867398.477259669, 6258858.09045561 1867342.699412855, 6258777.225776874 1867317.372364343))",[<shapely.geometry.polygon.Polygon object at 0x10b349400>],3658 JEWELL ST,"[2277.5445927593832, 1436]","(3, 1.0)","('SingleFamily', 10)","(86930.0, 47598.0)",5299.637755,False,"(0.6305035715064525, 27.389972144846798, 4.0)",1
4234822300,"POLYGON ((6258931.918225312 1867286.373165692, 6258912.809516448 1867340.541408846, 6259001.932675788 1867367.431733475, 6259021.041518327 1867313.263589745, 6258931.918225312 1867286.373165692))",[<shapely.geometry.polygon.Polygon object at 0x10b349e48>],3651 JEWELL ST,"[2276.30463135821, 2442]","(4, 2.5)","('SingleFamily', 10)","(119976.0, 49729.0)",5861.6962325,False,"(1.0727913858097824, 28.766175266175267, 6.5)",2
4234832200,"POLYGON ((6258687.904840992 1867287.038459894, 6258670.476205342 1867344.472893777, 6258756.286792884 1867369.752897664, 6258775.379710427 1867313.94379025, 6258687.904840992 1867287.038459894))",[<shapely.geometry.polygon.Polygon object at 0x10b3492b0>],3651 YOSEMITE ST,"[1156.6979885890348, 1002]","(3, 1.0)",10,"(74499.0, 45447.0)",5985.5677255,False,"(0.8662589629141322, 28.994011976047904, 4.0)",1
4234820600,"POLYGON ((6259042.144285177 1867260.717503372, 6259023.019877846 1867313.244904632, 6259105.548491308 1867340.197824145, 6259124.642033231 1867284.388879709, 6259042.144285177 1867260.717503372))",[<shapely.geometry.polygon.Polygon object at 0x10b349978>],3650 CROWN POINT DR,"[2823.7349119133883, 2406]","(5, 3.0)","('SingleFamily', 10)","(1013393.0, 880662.0)",5315.1176165,False,"(0.8520629857459504, 55.166666666666664, 8.0)",2
4234850400,"POLYGON ((6258549.140180328 1867258.813414087, 6258531.680732386 1867312.966341333, 6258615.858403317 1867339.902407754, 6258631.653826519 1867284.124344915, 6258549.140180328 1867258.813414087))",[<shapely.geometry.polygon.Polygon object at 0x10b349940>],3652 YOSEMITE ST,"[2474.6376436306346, 2812]","(7, 3.0)","('SingleFamily', 10)","(924981.0, 724874.0)",5416.934804,False,"(1.1363279820937373, 71.161806543385495, 10.0)",2
4234830500,"POLYGON ((6258799.779346745 1867261.366374536, 6258777.373579547 1867315.565907163, 6258858.222757199 1867339.252141582, 6258874.018601437 1867283.47420105, 6258799.779346745 1867261.366374536))",[<shapely.geometry.polygon.Polygon object at 0x10b349390>],3652 JEWELL ST,"[2054.8753461172855, 1590]","(4, 2.0)","('SingleFamily', 10)","(82083.5, 47598.0)",5127.074485,False,"(0.7737695636887786, 21.688993710691825, 6.0)",1
4234832100,"POLYGON ((6258707.12997641 1867227.781884473, 6258684.708826881 1867280.340720491, 6258775.51200327 1867310.496515497, 6258794.636007997 1867257.968958284, 6258707.12997641 1867227.781884473))",[<shapely.geometry.polygon.Polygon object at 0x11b64be80>],3645 YOSEMITE ST,"[2932.090614039517, 1458]","(4, 1.0)","('SingleFamily', 10)","(92347.0, 45447.0)",5898.670803,False,"(0.49725611924091445, 32.167352537722905, 5.0)",1
4234822200,"POLYGON ((6258944.549261497 1867227.179038667, 6258927.104631654 1867282.972615867, 6259021.173837589 1867309.816316182, 6259040.267251655 1867254.007267843, 6258944.549261497 1867227.179038667))",[<shapely.geometry.polygon.Polygon object at 0x11b650da0>],3645 JEWELL ST,"[1894.0187950750415, 1848]","(4, 2.0)","('SingleFamily', 10)","(1000000.0, 827000.0)",6406.0817795,False,"(0.9757030948189623, 93.614718614718612, 6.0)",2
4234820700,"POLYGON ((6259056.455164501 1867204.789451357, 6259040.643467328 1867258.926614321, 6259124.789855635 1867282.582422469, 6259140.586191473 1867226.804520209, 6259056.455164501 1867204.789451357))",[<shapely.geometry.polygon.Polygon object at 0x11b650dd8>],3646 CROWN POINT DR,"[1604.4394727127592, 1321]","(3, 1.5)",10,"(811461.0, 766026.0)",5391.9265175,False,"(0.823340501444081, 34.394398183194546, 4.5)",1
4234850500,"POLYGON ((6258568.380597721 1867201.197524476, 6258549.225885162 1867250.443671285, 6258631.801621155 1867282.317885124, 6258650.894376154 1867226.508551169, 6258568.380597721 1867201.197524476))",[<shapely.geometry.polygon.Polygon object at 0x11b650e10>],3646 YOSEMITE ST,"[1446.7171192174212, 2018]","(3, 3.0)","('SingleFamily', 10)","(999191.5, 794806.0)",5513.2225945,False,"(1.3948822290093623, 101.28121902874133, 6.0)",2
4234830600,"POLYGON ((6258815.691919269 1867200.500161262, 6258796.614370923 1867257.950259194, 6258874.166409728 1867281.667742472, 6258893.228578433 1867222.576912158, 6258815.691919269 1867200.500161262))",[<shapely.geometry.polygon.Polygon object at 0x11b650e48>],3646 JEWELL ST,"[1481.6169249129775, 1246]","(4, 2.0)","('SingleFamily', 10)","(480071.0, 405624.0)",5324.700691,False,"(0.8409731146080041, 59.74879614767255, 6.0)",2
4234832000,"POLYGON ((6258728.034848577 1867171.791275675, 6258719.985985444 1867174.985214671, 6258705.629138165 1867225.991009097, 6258794.768303199 1867254.521677676, 6258813.845850345 1867197.071572533, 6258728.034848577 1867171.791275675))",[<shapely.geometry.polygon.Polygon object at 0x11b650e80>],3639 YOSEMITE ST,"[2817.636855284656, 2520]","(4, 2.0)","('SingleFamily', 10)","(164818.5, 45447.0)",6077.1137035,False,"(0.894366495552321, 47.369642857142857, 6.0)",1
4234822100,"POLYGON ((6258967.056687878 1867166.25053997, 6258944.666071905 1867222.090933675, 6259040.384077117 1867248.919167566, 6259056.102806761 1867184.937046554, 6258967.056687878 1867166.25053997))",[<shapely.geometry.polygon.Polygon object at 0x11b650eb8>],3639 JEWELL ST,"[2720.9472074333203, 2081]","(5, 1.5)",10,"(230994.0, 132075.0)",6656.297549,False,"(0.7648071944633631, 47.534358481499282, 6.5)",1
4234820800,"POLYGON ((6259072.46121963 1867153.76821762, 6259062.763677478 1867156.977640314, 6259054.954344868 1867202.998558533, 6259140.718524035 1867223.357238045, 6259153.217636846 1867167.610370259, 6259072.46121963 1867153.76821762))",[<shapely.geometry.polygon.Polygon object at 0x11b650f28>],3640 CROWN POINT DR,"[2853.5137810622123, 1544]","(3, 2.0)","('SingleFamily', 10)","(483275.5, 321468.0)",5150.752752,False,"(0.5410872764123292, 104.797603626943, 5.0)",1
4234830700,"POLYGON ((6258834.994877144 1867149.447635664, 6258826.945997979 1867152.641549834, 6258815.839724702 1867198.693697759, 6258891.712246643 1867219.145205873, 6258909.203359528 1867168.273973332, 6258834.994877144 1867149.447635664))",[<shapely.geometry.polygon.Polygon object at 0x11b650f60>],3640 JEWELL ST,"[956.6452504677404, 1002]","(3, 1.0)","('SingleFamily', 10)","(468774.0, 380913.0)",4635.6098355,False,"(1.047410207190266, 87.685628742514965, 4.0)",1
4234850600,"POLYGON ((6258582.675160186 1867143.628324676, 6258565.215591136 1867197.78142535, 6258652.675293635 1867223.045676487, 6258668.51738593 1867172.189905128, 6258582.675160186 1867143.628324676))",[<shapely.geometry.polygon.Polygon object at 0x11b650f98>],3640 YOSEMITE ST,"[775.5211020288132, 1394]","(3, 1.0)","('SingleFamily', 10)","(602408.0, 558286.0)",5465.3157505,False,"(1.7975010561971894, 31.651362984218078, 4.0)",1
4234822000,"POLYGON ((6258979.703337579 1867108.697035736, 6258969.990290992 1867110.265663392, 6258963.740806771 1867164.312697913, 6259057.704960442 1867179.999005679, 6259065.525767807 1867117.732313475, 6258979.703337579 1867108.697035736))",[<shapely.geometry.polygon.Polygon object at 0x11b650fd0>],3633 JEWELL ST,"[1504.4860922807197, 1237]","(3, 2.0)",10,"(383271.0, 209799.0)",6147.74007,False,"(0.8222076670212184, 140.23605497170573, 5.0)",1
4234831900,"POLYGON ((6258742.314199361 1867112.581270159, 6258734.280831766 1867117.416038517, 6258723.205703488 1867166.7499194, 6258812.329508831 1867193.63986721, 6258831.314083392 1867126.344705994, 6258742.314199361 1867112.581270159))",[<shapely.geometry.polygon.Polygon object at 0x11b624048>],3633 YOSEMITE ST,"[1115.453040092172, 1002]","(3, 1.0)","('SingleFamily', 10)","(65613.0, 45447.0)",6570.5557335,False,"(0.898289720844907, 20.125748502994011, 4.0)",1
4234820900,"POLYGON ((6259075.138726844 1867088.103999773, 6259065.848061242 1867151.861501134, 6259153.171165658 1867162.687895877, 6259159.312538784 1867097.155102945, 6259075.138726844 1867088.103999773))",[<shapely.geometry.polygon.Polygon object at 0x11b6240b8>],3634 CROWN POINT DR,"[2008.6337829177637, 1950]","(3, 1.0)","('SingleFamily', 10)","(127451.0, 72384.0)",6144.897896,False,"(0.9708091223913442, 28.239487179487181, 4.0)",1
4234850700,"POLYGON ((6258601.93122743 1867087.653080033, 6258582.822952787 1867141.8218568, 6258668.649668013 1867168.742614717, 6258684.352183648 1867103.119318325, 6258601.93122743 1867087.653080033))",[<shapely.geometry.polygon.Polygon object at 0x11b6240f0>],3634 YOSEMITE ST,"[1930.7469299378356, 1812]","(4, 3.0)","('SingleFamily', 10)","(809810.5, 709835.0)",5986.6134275,False,"(0.938496895633205, 55.174116997792495, 7.0)",2
4234830800,"POLYGON ((6258842.710870416 1867093.5816158, 6258830.181252634 1867146.047085709, 6258909.320164628 1867163.185858903, 6258920.154754377 1867105.813541987, 6258842.710870416 1867093.5816158))",[<shapely.geometry.polygon.Polygon object at 0x11b624128>],3634 JEWELL ST,"[1547.0975373566562, 2161]","(3, 2.0)","('SingleFamily', 10)","(1206936.5, 900783.0)",5096.767507,False,"(1.3968091525064714, 141.67214252660804, 5.0)",2
4234831800,"POLYGON ((6258753.280800417 1867051.761501968, 6258743.598769714 1867056.61186172, 6258738.98278731 1867109.00262037, 6258832.885191964 1867118.124990468, 6258837.485819727 1867064.093431658, 6258753.280800417 1867051.761501968))",[<shapely.geometry.polygon.Polygon object at 0x11b624160>],3627 YOSEMITE ST,"[2343.16116528315, 2162]","(4, 2.0)","('SingleFamily', 10)","(817922.0, 202007.0)",5850.8360035,False,"(0.9226851451930503, 284.88205365402405, 6.0)",2
4234821900,"POLYGON ((6258993.952184417 1867046.205370006, 6258979.293178426 1867047.820715198, 6258973.090164209 1867106.790335596, 6259066.977007402 1867114.272564401, 6259073.180192632 1867055.30297742, 6258993.952184417 1867046.205370006))","[<shapely.geometry.polygon.Polygon object at 0x11b624198>, <shapely.geometry.polygon.Polygon object at 0x11b6242e8>]",3627 JEWELL ST,"[3271.953977425291, 1027]","(3, 1.0)","('SingleFamily', 10)","(858754.0, 768354.0)",6152.458016,False,"(0.3138797205234986, 27.628750472565017, 4.0)",1
4234830900,"POLYGON ((6258855.326315894 1867032.746268552, 6258843.964604693 1867034.330517474, 6258837.897238403 1867090.181058745, 6258920.28706386 1867102.366245809, 6258929.457546223 1867043.368569849, 6258855.326315894 1867032.746268552))","[<shapely.geometry.polygon.Polygon object at 0x11b624208>, <shapely.geometry.polygon.Polygon object at 0x11b6242b0>]",3628 JEWELL ST,"[1811.554159138005, 2000]","(3, 2.0)","('SingleFamily', 10)","(436354.0, 271222.0)",5375.056157,False,"(1.104024403527446, 91.154878901647109, 5.0)",1
4234821000,"POLYGON ((6259092.747038354 1867032.144530582, 6259079.736668685 1867033.744263175, 6259073.486983432 1867087.791402272, 6259162.427923578 1867095.320620629, 6259167.013620464 1867039.648245171, 6259092.747038354 1867032.144530582))","[<shapely.geometry.polygon.Polygon object at 0x11b624240>, <shapely.geometry.polygon.Polygon object at 0x11b624358>]",3628 CROWN POINT DR,"[3202.0185389545486, 2449]","(4, 4.0)",10,"(515607.0, 242564.0)",5327.128905,False,"(0.7648300502343727, 85.272148389605476, 8.0)",2
4234850800,"POLYGON ((6258616.225902626 1867030.083694173, 6258606.51284892 1867031.652435764, 6258597.11756864 1867084.252558273, 6258684.484467789 1867099.672020646, 6258693.685545349 1867043.955930274, 6258616.225902626 1867030.083694173))",[<shapely.geometry.polygon.Polygon object at 0x11b624278>],3628 YOSEMITE ST,"[1364.7603353319428, 1008]","(3, 1.0)","('SingleFamily', 10)","(320610.5, 199571.0)",5373.682693,False,"(0.7385912192083381, 120.07886904761905, 4.0)",1
